"Make","Model","Year","Engine_Fuel_Type","Engine_HP","Engine_Cylinders","Transmission_Type","Driven_Wheels","Number_of_Doors","Market_Category","Vehicle_Size","Vehicle_Style","highway_MPG","city_mpg","Popularity","MSRP","obs_number"
"BMW","1 Series M",2011,"premium unleaded (required)",335,6,"MANUAL","rear wheel drive",2,"Factory Tuner,Luxury,High-Performance","Compact","Coupe",26,19,3916,46135,1
"BMW","1 Series",2011,"premium unleaded (required)",300,6,"MANUAL","rear wheel drive",2,"Luxury,Performance","Compact","Convertible",28,19,3916,40650,2
"BMW","1 Series",2011,"premium unleaded (required)",300,6,"MANUAL","rear wheel drive",2,"Luxury,High-Performance","Compact","Coupe",28,20,3916,36350,3
"BMW","1 Series",2011,"premium unleaded (required)",230,6,"MANUAL","rear wheel drive",2,"Luxury,Performance","Compact","Coupe",28,18,3916,29450,4
"BMW","1 Series",2011,"premium unleaded (required)",230,6,"MANUAL","rear wheel drive",2,"Luxury","Compact","Convertible",28,18,3916,34500,5
"BMW","1 Series",2012,"premium unleaded (required)",230,6,"MANUAL","rear wheel drive",2,"Luxury,Performance","Compact","Coupe",28,18,3916,31200,6
"BMW","1 Series",2012,"premium unleaded (required)",300,6,"MANUAL","rear wheel drive",2,"Luxury,Performance","Compact","Convertible",26,17,3916,44100,7
"BMW","1 Series",2012,"premium unleaded (required)",300,6,"MANUAL","rear wheel drive",2,"Luxury,High-Performance","Compact","Coupe",28,20,3916,39300,8
"BMW","1 Series",2012,"premium unleaded (required)",230,6,"MANUAL","rear wheel drive",2,"Luxury","Compact","Convertible",28,18,3916,36900,9
"BMW","1 Series",2013,"premium unleaded (required)",230,6,"MANUAL","rear wheel drive",2,"Luxury","Compact","Convertible",27,18,3916,37200,10
"BMW","1 Series",2013,"premium unleaded (required)",300,6,"MANUAL","rear wheel drive",2,"Luxury,High-Performance","Compact","Coupe",28,20,3916,39600,11
"BMW","1 Series",2013,"premium unleaded (required)",230,6,"MANUAL","rear wheel drive",2,"Luxury,Performance","Compact","Coupe",28,19,3916,31500,12
"BMW","1 Series",2013,"premium unleaded (required)",300,6,"MANUAL","rear wheel drive",2,"Luxury,Performance","Compact","Convertible",28,19,3916,44400,13
"BMW","1 Series",2013,"premium unleaded (required)",230,6,"MANUAL","rear wheel drive",2,"Luxury","Compact","Convertible",28,19,3916,37200,14
"BMW","1 Series",2013,"premium unleaded (required)",320,6,"MANUAL","rear wheel drive",2,"Luxury,High-Performance","Compact","Convertible",25,18,3916,48250,15
"BMW","1 Series",2013,"premium unleaded (required)",320,6,"MANUAL","rear wheel drive",2,"Luxury,High-Performance","Compact","Coupe",28,20,3916,43550,16
"Audi","100",1992,"regular unleaded",172,6,"MANUAL","front wheel drive",4,"Luxury","Midsize","Sedan",24,17,3105,2000,17
"Audi","100",1992,"regular unleaded",172,6,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Wagon",20,16,3105,2000,18
"Audi","100",1992,"regular unleaded",172,6,"MANUAL","all wheel drive",4,"Luxury","Midsize","Sedan",21,16,3105,2000,19
"Audi","100",1993,"regular unleaded",172,6,"MANUAL","front wheel drive",4,"Luxury","Midsize","Sedan",24,17,3105,2000,20
"Audi","100",1993,"regular unleaded",172,6,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Wagon",20,16,3105,2000,21
"Audi","100",1993,"regular unleaded",172,6,"MANUAL","all wheel drive",4,"Luxury","Midsize","Sedan",21,16,3105,2000,22
"Audi","100",1994,"regular unleaded",172,6,"AUTOMATIC","front wheel drive",4,"Luxury","Midsize","Wagon",21,16,3105,2000,23
"Audi","100",1994,"regular unleaded",172,6,"MANUAL","all wheel drive",4,"Luxury","Midsize","Sedan",22,16,3105,2000,24
"Audi","100",1994,"regular unleaded",172,6,"MANUAL","front wheel drive",4,"Luxury","Midsize","Sedan",22,17,3105,2000,25
"Audi","100",1994,"regular unleaded",172,6,"AUTOMATIC","front wheel drive",4,"Luxury","Midsize","Sedan",22,16,3105,2000,26
"Audi","100",1994,"regular unleaded",172,6,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Wagon",21,16,3105,2000,27
"FIAT","124 Spider",2017,"premium unleaded (recommended)",160,4,"MANUAL","rear wheel drive",2,"Performance","Compact","Convertible",35,26,819,26895,28
"Mercedes-Benz","190-Class",1991,"regular unleaded",130,4,"MANUAL","rear wheel drive",4,"Luxury","Compact","Sedan",26,18,617,2000,29
"Mercedes-Benz","190-Class",1991,"regular unleaded",158,6,"MANUAL","rear wheel drive",4,"Luxury","Compact","Sedan",25,17,617,2000,30
"Mercedes-Benz","190-Class",1992,"regular unleaded",158,6,"MANUAL","rear wheel drive",4,"Luxury","Compact","Sedan",25,17,617,2000,31
"Mercedes-Benz","190-Class",1992,"regular unleaded",130,4,"MANUAL","rear wheel drive",4,"Luxury","Compact","Sedan",26,18,617,2000,32
"Mercedes-Benz","190-Class",1993,"regular unleaded",130,4,"MANUAL","rear wheel drive",4,"Luxury","Compact","Sedan",26,18,617,2000,33
"Mercedes-Benz","190-Class",1993,"regular unleaded",158,6,"MANUAL","rear wheel drive",4,"Luxury","Compact","Sedan",25,17,617,2000,34
"BMW","2 Series",2016,"premium unleaded (required)",240,4,"AUTOMATIC","rear wheel drive",2,"Luxury,Performance","Compact","Coupe",35,23,3916,32850,35
"BMW","2 Series",2016,"premium unleaded (required)",240,4,"AUTOMATIC","rear wheel drive",2,"Luxury","Compact","Convertible",34,23,3916,38650,36
"BMW","2 Series",2016,"premium unleaded (required)",320,6,"AUTOMATIC","rear wheel drive",2,"Factory Tuner,Luxury,High-Performance","Compact","Convertible",31,20,3916,48750,37
"BMW","2 Series",2016,"premium unleaded (required)",240,4,"AUTOMATIC","all wheel drive",2,"Luxury,Performance","Compact","Coupe",35,23,3916,34850,38
"BMW","2 Series",2016,"premium unleaded (required)",240,4,"AUTOMATIC","all wheel drive",2,"Luxury","Compact","Convertible",34,22,3916,40650,39
"BMW","2 Series",2016,"premium unleaded (required)",320,6,"AUTOMATIC","rear wheel drive",2,"Factory Tuner,Luxury,High-Performance","Compact","Coupe",31,20,3916,44150,40
"BMW","2 Series",2016,"premium unleaded (required)",240,4,"MANUAL","rear wheel drive",2,"Luxury,Performance","Compact","Coupe",34,22,3916,32850,41
"BMW","2 Series",2016,"premium unleaded (required)",320,6,"AUTOMATIC","all wheel drive",2,"Factory Tuner,Luxury,High-Performance","Compact","Coupe",30,20,3916,46150,42
"BMW","2 Series",2016,"premium unleaded (required)",320,6,"AUTOMATIC","rear wheel drive",2,"Factory Tuner,Luxury,High-Performance","Compact","Convertible",30,20,3916,50750,43
"BMW","2 Series",2017,"premium unleaded (recommended)",335,6,"AUTOMATIC","all wheel drive",2,"Factory Tuner,Luxury,High-Performance","Compact","Coupe",31,21,3916,46450,44
"BMW","2 Series",2017,"premium unleaded (recommended)",335,6,"AUTOMATIC","rear wheel drive",2,"Factory Tuner,Luxury,High-Performance","Compact","Convertible",32,21,3916,49050,45
"BMW","2 Series",2017,"premium unleaded (recommended)",335,6,"AUTOMATIC","all wheel drive",2,"Factory Tuner,Luxury,High-Performance","Compact","Convertible",32,21,3916,51050,46
"BMW","2 Series",2017,"premium unleaded (recommended)",335,6,"AUTOMATIC","rear wheel drive",2,"Factory Tuner,Luxury,High-Performance","Compact","Coupe",32,21,3916,44450,47
"BMW","2 Series",2017,"premium unleaded (recommended)",248,4,"AUTOMATIC","rear wheel drive",2,"Luxury,Performance","Compact","Convertible",34,23,3916,38950,48
"BMW","2 Series",2017,"premium unleaded (recommended)",248,4,"AUTOMATIC","rear wheel drive",2,"Luxury,Performance","Compact","Coupe",35,24,3916,33150,49
"BMW","2 Series",2017,"premium unleaded (recommended)",248,4,"AUTOMATIC","all wheel drive",2,"Luxury,Performance","Compact","Coupe",33,24,3916,35150,50
"BMW","2 Series",2017,"premium unleaded (recommended)",248,4,"AUTOMATIC","all wheel drive",2,"Luxury","Compact","Convertible",33,23,3916,40950,51
"Audi","200",1990,"regular unleaded",162,5,"AUTOMATIC","front wheel drive",4,"Luxury","Midsize","Sedan",20,16,3105,2000,52
"Audi","200",1990,"regular unleaded",162,5,"MANUAL","all wheel drive",4,"Luxury","Midsize","Wagon",22,15,3105,2000,53
"Audi","200",1990,"regular unleaded",162,5,"MANUAL","all wheel drive",4,"Luxury","Midsize","Sedan",23,15,3105,2000,54
"Audi","200",1991,"regular unleaded",217,5,"MANUAL","all wheel drive",4,"Luxury,Performance","Midsize","Sedan",22,16,3105,2000,55
"Audi","200",1991,"regular unleaded",217,5,"MANUAL","all wheel drive",4,"Luxury,Performance","Midsize","Wagon",22,16,3105,2000,56
"Audi","200",1991,"regular unleaded",162,5,"AUTOMATIC","front wheel drive",4,"Luxury","Midsize","Sedan",20,16,3105,2000,57
"Chrysler","200",2015,"flex-fuel (unleaded/E85)",184,4,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Sedan",36,23,1013,23705,58
"Chrysler","200",2015,"flex-fuel (unleaded/E85)",295,6,"AUTOMATIC","all wheel drive",4,"Flex Fuel,Performance","Midsize","Sedan",29,18,1013,30097.5,59
"Chrysler","200",2015,"flex-fuel (unleaded/E85)",184,4,"AUTOMATIC","front wheel drive",4,"Flex Fuel,Performance","Midsize","Sedan",36,23,1013,26625,60
"Chrysler","200",2016,"flex-fuel (unleaded/E85)",184,4,"AUTOMATIC","front wheel drive",4,"Flex Fuel","Midsize","Sedan",36,23,1013,25005,61
"Chrysler","200",2016,"flex-fuel (unleaded/E85)",295,6,"AUTOMATIC","all wheel drive",4,"Flex Fuel,Performance","Midsize","Sedan",29,18,1013,30845,62
